MPG,Cylinders,Engine Disp,Horsepower,Weight,Accelerate,Year
15.0,8,390,190,3850,8.5,70
21.0,6,199,90,2648,15.0,70
18.0,6,199,97,2774,15.5,70
16.0,8,304,150,3433,12.0,70
14.0,8,455,225,3086,10.0,70
15.0,8,350,165,3693,11.5,70
18.0,8,307,130,3504,12.0,70
14.0,8,454,220,4354,9.0,70
15.0,8,400,150,3761,9.5,70
10.0,8,307,200,4376,15.0,70
15.0,8,383,170,3563,10.0,70
11.0,8,318,210,4382,13.5,70
10.0,8,360,215,4615,14.0,70
15.0,8,429,198,4341,10.0,70
21.0,6,200,85,2587,16.0,70
17.0,8,302,140,3449,10.5,70
9.0,8,304,193,4732,18.5,70
14.0,8,340,160,3609,8.0,70
22.0,6,198,95,2833,15.5,70
14.0,8,440,215,4312,8.5,70
18.0,8,318,150,3436,11.0,70
14.0,8,455,225,4425,10.0,70
24.0,4,107,90,2430,14.5,70
26.0,4,121,113,2234,12.5,70
25.0,4,110,87,2672,17.5,70
25.0,4,104,95,2375,17.5,70
26.0,4,97,46,1835,20.5,70
27.0,4,97,88,2130,14.5,70
24.0,4,113,95,2372,15.0,70
19.0,6,232,100,2634,13.0,71
18.0,6,258,110,2962,13.5,71
18.0,6,232,100,3288,15.5,71
17.0,6,250,100,3329,15.5,71
14.0,8,350,165,4209,12.0,71
22.0,4,140,72,2408,19.0,71
28.0,4,140,90,2264,15.5,71
12.0,8,383,180,4955,11.5,71
13.0,8,400,170,4746,12.0,71
14.0,8,351,153,4154,13.5,71
18.0,6,250,88,3139,14.5,71
19.0,6,250,88,3302,15.5,71
23.0,4,122,86,2220,14.0,71
26.0,4,91,70,1955,20.5,71
14.0,8,318,150,4096,13.0,71
16.0,6,225,105,3439,15.5,71
14.0,8,400,175,4464,11.5,71
19.0,6,250,100,3282,15.0,71
13.0,8,400,175,5140,12.0,71
30.0,4,88,76,2065,14.5,71
28.0,4,116,90,2123,14.0,71
30.0,4,79,70,2074,19.5,71
27.0,4,97,60,1834,19.0,71
35.0,4,72,69,1613,18.0,71
27.0,4,97,88,2130,14.5,71
31.0,4,71,65,1773,19.0,71
25.0,4,113,95,2228,14.0,71
17.0,8,304,150,3672,11.5,72
15.0,8,304,150,3892,12.5,72
13.0,8,350,155,4502,13.5,72
13.0,8,307,130,4098,14.0,72
13.0,8,350,165,4274,12.0,72
20.0,4,140,90,2408,19.5,72
13.0,8,400,190,4422,12.5,72
28.0,4,98,80,2164,15.0,72
25.0,4,97.5,80,2126,17.0,72
14.0,8,351,153,4129,13.0,72
13.0,8,302,140,4294,16.0,72
22.0,4,122,86,2395,16.0,72
21.0,4,122,86,2226,16.5,72
11.0,8,429,208,4633,11.0,72
12.0,8,350,160,4456,13.5,72
15.0,8,318,150,4135,13.5,72
14.0,8,318,150,4077,14.0,72
14.0,8,400,175,4385,12.0,72
21.0,4,120,87,2979,19.5,72
26.0,4,96,69,2189,18.0,72
22.0,4,121,76,2511,18.0,72
23.0,4,97,54,2254,23.5,72
18.0,4,121,112,2933,14.5,72
28.0,4,97,92,2288,17.0,72
19.0,3,70,97,2330,13.5,72
27.0,4,97,88,2100,16.5,72
24.0,4,113,95,2278,15.5,72
23.0,4,120,97,2506,14.5,72
13.0,8,360,175,3821,11.0,73
18.0,6,232,100,2789,15.0,73
18.0,6,232,100,2945,16.0,73
14.0,8,304,150,3672,11.5,73
13.0,8,350,175,4100,13.0,73
12.0,8,455,225,4951,11.0,73
13.0,8,400,150,4464,12.0,73
11.0,8,400,150,4997,14.0,73
13.0,8,350,145,3988,13.0,73
15.0,8,350,145,4082,13.0,73
16.0,6,250,100,3278,18.0,73
21.0,4,140,72,2401,19.5,73
13.0,8,440,215,4735,11.0,73
15.0,8,318,150,3777,12.5,73
15.0,8,318,150,3399,11.0,73
12.0,8,400,167,4906,12.5,73
14.0,8,302,137,4042,14.5,73
13.0,8,351,158,4363,13.0,73
18.0,6,250,88,3021,16.5,73
19.0,4,122,85,2310,18.5,73
21.0,6,155,107,2472,14.0,73
12.0,8,429,198,4952,11.5,73
11.0,8,350,180,3664,11.0,73
12.0,8,350,180,4499,12.5,73
13.0,8,360,170,4654,13.0,73
23.0,6,198,95,2904,16.0,73
14.0,8,318,150,4237,14.5,73
18.0,6,225,105,3121,16.5,73
16.0,8,400,230,4278,9.5,73
20.0,4,114,91,2582,14.0,73
26.0,4,98,90,2265,15.5,73
29.0,4,68,49,1867,19.5,73
24.0,4,116,75,2158,15.5,73
24.0,4,121,110,2660,14.0,73
26.0,4,97,46,1950,21.0,73
19.0,4,121,112,2868,15.5,73
22.0,4,108,94,2379,16.5,73
18.0,3,70,90,2124,13.5,73
20.0,4,97,88,2279,19.0,73
20.0,6,156,122,2807,13.5,73
19.0,6,232,100,2901,16.0,74
16.0,6,258,110,3632,18.0,74
14.0,8,304,150,4257,15.5,74
13.0,8,350,150,4699,14.5,74
16.0,6,250,100,3781,17.0,74
15.0,6,250,100,3336,17.0,74
25.0,4,140,75,2542,17.0,74
28.0,4,90,75,2125,14.5,74
14.0,8,318,150,4457,13.5,74
16.0,8,302,140,4141,14.0,74
14.0,8,302,140,4638,16.0,74
26.0,4,122,80,2451,16.5,74
20.0,6,198,95,3102,16.5,74
18.0,6,225,105,3613,16.5,74
29.0,4,98,83,2219,16.5,74
26.0,4,116,75,2246,14.0,74
24.0,4,90,75,2108,15.5,74
31.0,4,79,67,2000,16.0,74
26.0,4,97,78,2300,14.5,74
26.0,4,79,67,1963,15.5,74
32.0,4,83,61,2003,19.0,74
31.0,4,79,67,1950,19.0,74
24.0,4,120,97,2489,15.0,74
26.0,4,108,93,2391,15.5,74
32.0,4,71,65,1836,21.0,74
31.0,4,76,52,1649,16.5,74
20.0,6,232,100,2914,16.0,75
15.0,6,258,110,3730,19.0,75
19.0,6,232,90,3211,17.0,75
17.0,6,231,110,3907,21.0,75
21.0,6,231,110,3039,15.0,75
16.0,6,250,105,3897,18.5,75
15.0,8,350,145,4440,14.0,75
20.0,8,262,110,3221,13.5,75
18.0,6,250,105,3459,16.0,75
14.0,8,351,148,4657,13.5,75
15.0,6,250,72,3158,19.5,75
13.0,8,302,129,3169,12.0,75
23.0,4,140,83,2639,17.0,75
18.0,6,171,97,2984,14.5,75
15.0,6,250,72,3432,21.0,75
18.0,6,225,95,3785,19.0,75
16.0,8,318,150,4498,14.5,75
19.0,6,225,95,3264,16.0,75
23.0,4,140,78,2592,18.5,75
16.0,8,400,170,4668,11.5,75
23.0,4,115,95,2694,15.0,75
23.0,4,120,88,2957,17.0,75
25.0,4,121,115,2671,13.5,75
25.0,4,90,71,2223,16.5,75
29.0,4,90,70,1937,14.0,75
22.0,4,121,98,2945,14.5,75
24.0,4,119,97,2545,17.0,75
33.0,4,91,53,1795,17.5,75
29.0,4,97,75,2171,16.0,75
24.0,4,134,96,2702,13.5,75
22.5,6,232,90,3085,17.6,76
15.5,8,304,120,3962,13.9,76
17.5,6,258,95,3193,17.8,76
16.5,8,350,180,4380,12.1,76
25.0,4,140,92,2572,14.9,76
17.5,8,305,140,4215,13.0,76
29.0,4,85,52,2035,22.2,76
22.0,6,250,105,3353,14.5,76
24.5,4,98,60,2164,22.1,76
13.0,8,350,145,4055,12.0,76
20.0,6,225,100,3651,17.7,76
26.0,4,98,79,2255,17.7,76
16.0,8,318,150,4190,13.0,76
13.0,8,318,150,3755,14.0,76
13.0,8,302,130,3870,15.0,76
14.5,8,351,152,4215,12.8,76
18.0,6,250,78,3574,21.0,76
24.0,6,200,81,3012,17.6,76
26.5,4,140,72,2565,13.6,76